local,visitante,fecha,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,faltas_local,faltas_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,local_encoded,visitante_encoded,tarjetas_totales,score
LDU de Quito,Barcelona SC,2020-12-30,2,4,0.0,0.0,0.62,0.38,14.0,12.0,7.0,6.0,5,0,6.0,0 - 0
Emelec,CD Olmedo,2020-12-20,4,4,0.0,0.0,0.63,0.37,19.0,15.0,13.0,3.0,4,1,8.0,4 - 1
Orense SC,El Nacional,2020-12-20,3,1,0.0,0.0,0.48,0.52,13.0,21.0,7.0,8.0,15,2,4.0,1 - 0
CD Olmedo,LDU Portoviejo,2020-12-17,5,1,0.0,0.0,0.45,0.55,16.0,9.0,3.0,4.0,1,3,6.0,1 - 3
Deportivo Cuenca,Emelec,2020-12-16,6,2,1.0,0.0,0.37,0.63,18.0,17.0,4.0,6.0,10,4,9.0,2 - 1
Delfin,LDU de Quito,2020-12-16,1,1,0.0,0.0,0.38,0.62,22.0,18.0,4.0,2.0,9,5,2.0,2 - 0
Barcelona SC,Mushuc Runa SC,2020-12-16,2,5,0.0,0.0,0.53,0.47,20.0,15.0,10.0,3.0,0,6,7.0,3 - 0
Guayaquil City,Independiente del Valle,2020-12-13,4,3,1.0,0.0,0.36,0.64,15.0,15.0,1.0,17.0,11,7,8.0,0 - 2
CSD Macara,LDU de Quito,2020-12-13,2,5,0.0,0.0,0.52,0.48,22.0,14.0,9.0,5.0,14,5,7.0,3 - 4
Emelec,El Nacional,2020-12-13,4,3,0.0,0.0,0.63,0.37,17.0,14.0,7.0,4.0,4,2,7.0,3 - 0
LDU Portoviejo,Mushuc Runa SC,2020-12-12,2,4,0.0,0.0,0.6,0.4,22.0,18.0,3.0,1.0,3,6,6.0,0 - 0
Orense SC,CD Tecnico Universitario,2020-12-12,4,1,0.0,0.0,0.54,0.46,20.0,17.0,2.0,4.0,15,8,5.0,1 - 0
Universidad Catolica,Delfin,2020-12-11,4,1,0.0,0.0,0.73,0.27,13.0,16.0,4.0,2.0,13,9,5.0,0 - 0
CD Olmedo,Deportivo Cuenca,2020-12-11,4,4,0.0,0.0,0.56,0.44,20.0,20.0,4.0,8.0,1,10,8.0,1 - 1
Barcelona SC,Guayaquil City,2020-12-10,2,3,0.0,0.0,0.54,0.46,13.0,18.0,5.0,4.0,0,11,5.0,2 - 0
Independiente del Valle,Emelec,2020-12-09,3,2,0.0,0.0,0.62,0.38,16.0,5.0,11.0,0.0,7,4,5.0,3 - 0
LDU de Quito,LDU Portoviejo,2020-12-09,4,3,1.0,0.0,0.72,0.28,13.0,16.0,7.0,6.0,5,3,8.0,1 - 1
El Nacional,Aucas,2020-12-09,1,2,0.0,0.0,0.5,0.5,20.0,15.0,5.0,8.0,2,12,3.0,2 - 2
Delfin,CD Olmedo,2020-12-09,3,2,0.0,0.0,0.5,0.5,25.0,24.0,4.0,7.0,9,1,5.0,3 - 1
CD Tecnico Universitario,Universidad Catolica,2020-12-08,0,2,0.0,0.0,0.51,0.49,14.0,15.0,4.0,5.0,8,13,2.0,1 - 0
Deportivo Cuenca,CSD Macara,2020-12-08,5,2,0.0,0.0,0.4,0.6,17.0,11.0,4.0,6.0,10,14,7.0,2 - 1
Mushuc Runa SC,Orense SC,2020-12-08,0,3,0.0,0.0,0.68,0.32,15.0,13.0,6.0,1.0,6,15,3.0,0 - 0
Emelec,Barcelona SC,2020-12-06,4,1,0.0,0.0,0.48,0.52,20.0,9.0,4.0,6.0,4,0,5.0,1 - 1
Guayaquil City,LDU Portoviejo,2020-12-06,2,2,0.0,0.0,0.58,0.42,15.0,23.0,7.0,3.0,11,3,4.0,3 - 1
Independiente del Valle,El Nacional,2020-12-06,2,3,0.0,0.0,0.51,0.49,23.0,16.0,4.0,6.0,7,2,5.0,2 - 0
Universidad Catolica,LDU de Quito,2020-12-06,3,2,1.0,0.0,0.42,0.58,15.0,13.0,6.0,5.0,13,5,6.0,2 - 0
Orense SC,Delfin,2020-12-05,1,2,0.0,0.0,0.48,0.52,20.0,8.0,3.0,6.0,15,9,3.0,1 - 1
Deportivo Cuenca,Mushuc Runa SC,2020-12-04,3,2,0.0,0.0,0.4,0.6,19.0,20.0,2.0,6.0,10,6,5.0,1 - 0
CD Olmedo,CD Tecnico Universitario,2020-12-04,3,3,0.0,0.0,0.47,0.53,11.0,13.0,3.0,3.0,1,8,6.0,0 - 0
Barcelona SC,CSD Macara,2020-11-29,2,1,0.0,0.0,0.55,0.45,15.0,19.0,5.0,1.0,0,14,3.0,3 - 0
LDU Portoviejo,Universidad Catolica,2020-11-29,3,3,1.0,0.0,0.5,0.5,17.0,11.0,7.0,5.0,3,13,7.0,2 - 1
Aucas,Orense SC,2020-11-29,2,1,0.0,0.0,0.54,0.46,20.0,11.0,6.0,8.0,12,15,3.0,4 - 1
CD Tecnico Universitario,Deportivo Cuenca,2020-11-28,2,1,0.0,0.0,0.61,0.39,11.0,9.0,4.0,1.0,8,10,3.0,1 - 1
Mushuc Runa SC,Emelec,2020-11-27,3,4,0.0,0.0,0.57,0.43,15.0,18.0,7.0,8.0,6,4,7.0,2 - 3
LDU de Quito,CD Olmedo,2020-11-27,0,4,0.0,0.0,0.45,0.55,17.0,12.0,8.0,3.0,5,1,4.0,3 - 0
CSD Macara,LDU Portoviejo,2020-11-23,3,3,0.0,0.0,0.52,0.48,18.0,15.0,8.0,4.0,14,3,6.0,1 - 0
Orense SC,Barcelona SC,2020-11-23,4,3,0.0,0.0,0.4,0.6,25.0,16.0,0.0,7.0,15,0,7.0,0 - 0
Universidad Catolica,Mushuc Runa SC,2020-11-23,2,4,0.0,0.0,0.55,0.45,15.0,10.0,3.0,2.0,13,6,6.0,1 - 1
Emelec,Delfin,2020-11-22,2,2,0.0,0.0,0.7,0.3,17.0,18.0,4.0,5.0,4,9,4.0,3 - 2
CD Olmedo,El Nacional,2020-11-22,2,3,0.0,0.0,0.47,0.53,20.0,12.0,3.0,8.0,1,2,5.0,1 - 2
Guayaquil City,LDU de Quito,2020-11-22,1,3,0.0,0.0,0.56,0.44,11.0,14.0,7.0,6.0,11,5,4.0,1 - 1
Independiente del Valle,CD Tecnico Universitario,2020-11-21,5,2,0.0,0.0,0.65,0.35,16.0,13.0,4.0,2.0,7,8,7.0,1 - 0
LDU Portoviejo,Orense SC,2020-11-19,3,1,0.0,0.0,0.56,0.44,15.0,17.0,3.0,4.0,3,15,4.0,1 - 2
El Nacional,Universidad Catolica,2020-11-19,3,0,0.0,0.0,0.46,0.54,15.0,17.0,1.0,3.0,2,13,3.0,0 - 2
LDU de Quito,Emelec,2020-11-18,3,2,0.0,0.0,0.52,0.48,22.0,18.0,3.0,3.0,5,4,5.0,1 - 2
CD Tecnico Universitario,CSD Macara,2020-11-18,3,4,0.0,0.0,0.45,0.55,14.0,18.0,3.0,3.0,8,14,7.0,0 - 1
Aucas,Independiente del Valle,2020-11-18,4,5,1.0,1.0,0.6,0.4,16.0,8.0,9.0,8.0,12,7,11.0,3 - 3
El Nacional,Barcelona SC,2020-11-15,3,2,0.0,0.0,0.42,0.58,12.0,7.0,5.0,6.0,2,0,5.0,1 - 1
Emelec,CD Tecnico Universitario,2020-11-15,3,3,0.0,0.0,0.68,0.32,17.0,12.0,5.0,5.0,4,8,6.0,1 - 1
Independiente del Valle,LDU Portoviejo,2020-11-15,4,4,0.0,0.0,0.73,0.27,16.0,10.0,6.0,5.0,7,3,8.0,2 - 3
CD Olmedo,Universidad Catolica,2020-11-15,2,3,0.0,0.0,0.53,0.47,22.0,18.0,3.0,5.0,1,13,5.0,2 - 1
CSD Macara,Orense SC,2020-11-14,2,4,0.0,0.0,0.6,0.4,10.0,15.0,3.0,3.0,14,15,6.0,0 - 1
Guayaquil City,Mushuc Runa SC,2020-11-14,5,5,0.0,0.0,0.51,0.49,15.0,16.0,6.0,5.0,11,6,10.0,3 - 2
LDU Portoviejo,Emelec,2020-11-11,4,1,0.0,0.0,0.48,0.52,16.0,20.0,2.0,9.0,3,4,5.0,0 - 6
Universidad Catolica,Guayaquil City,2020-11-11,1,3,0.0,0.0,0.57,0.43,23.0,8.0,10.0,4.0,13,11,4.0,2 - 1
Aucas,CD Olmedo,2020-11-11,2,3,0.0,0.0,0.56,0.44,21.0,16.0,7.0,3.0,12,1,5.0,3 - 3
Delfin,CSD Macara,2020-11-10,3,4,1.0,0.0,0.61,0.39,21.0,22.0,4.0,6.0,9,14,8.0,1 - 2
CD Tecnico Universitario,El Nacional,2020-11-10,0,1,0.0,0.0,0.45,0.55,15.0,14.0,3.0,6.0,8,2,1.0,1 - 0
Orense SC,Deportivo Cuenca,2020-11-10,3,4,0.0,0.0,0.57,0.43,21.0,25.0,2.0,5.0,15,10,7.0,1 - 1
Emelec,Universidad Catolica,2020-11-08,3,2,0.0,1.0,0.52,0.48,31.0,17.0,5.0,4.0,4,13,6.0,2 - 0
CD Olmedo,Barcelona SC,2020-11-06,2,3,0.0,0.0,0.43,0.57,20.0,16.0,3.0,6.0,1,0,5.0,1 - 0
LDU de Quito,Orense SC,2020-11-06,0,1,0.0,0.0,0.6,0.4,17.0,14.0,14.0,2.0,5,15,1.0,4 - 0
El Nacional,Delfin,2020-11-06,0,4,1.0,0.0,0.46,0.54,8.0,12.0,2.0,6.0,2,9,5.0,1 - 3
Independiente del Valle,Deportivo Cuenca,2020-11-05,2,3,0.0,0.0,0.65,0.35,18.0,17.0,3.0,5.0,7,10,5.0,2 - 1
CSD Macara,Mushuc Runa SC,2020-11-05,2,4,0.0,0.0,0.55,0.45,20.0,16.0,5.0,5.0,14,6,6.0,0 - 3
CSD Macara,Guayaquil City,2020-11-02,4,2,0.0,0.0,0.57,0.43,21.0,13.0,7.0,4.0,14,11,6.0,1 - 1
Barcelona SC,LDU de Quito,2020-11-01,2,1,0.0,0.0,0.5,0.5,8.0,21.0,3.0,3.0,0,5,3.0,2 - 2
Universidad Catolica,Independiente del Valle,2020-10-31,0,3,0.0,0.0,0.43,0.57,12.0,14.0,6.0,3.0,13,7,3.0,3 - 1
Delfin,LDU Portoviejo,2020-10-31,2,5,0.0,0.0,0.48,0.52,20.0,17.0,6.0,7.0,9,3,7.0,4 - 2
Mushuc Runa SC,CD Tecnico Universitario,2020-10-31,3,4,0.0,0.0,0.55,0.45,17.0,19.0,1.0,5.0,6,8,7.0,0 - 1
Deportivo Cuenca,El Nacional,2020-10-30,2,3,0.0,0.0,0.53,0.47,16.0,20.0,2.0,4.0,10,2,5.0,0 - 0
Guayaquil City,Orense SC,2020-10-26,2,3,0.0,0.0,0.56,0.44,17.0,24.0,5.0,5.0,11,15,5.0,1 - 1
LDU Portoviejo,Barcelona SC,2020-10-25,5,1,0.0,1.0,0.5,0.5,18.0,13.0,8.0,4.0,3,0,7.0,0 - 2
CD Olmedo,Independiente del Valle,2020-10-25,1,3,0.0,0.0,0.44,0.56,17.0,14.0,6.0,3.0,1,7,4.0,2 - 1
LDU de Quito,El Nacional,2020-10-25,0,3,0.0,0.0,0.52,0.48,8.0,16.0,5.0,5.0,5,2,3.0,1 - 0
CD Tecnico Universitario,Delfin,2020-10-24,1,4,0.0,0.0,0.5,0.5,15.0,17.0,5.0,3.0,8,9,5.0,1 - 1
Emelec,CSD Macara,2020-10-24,2,3,0.0,0.0,0.66,0.34,19.0,23.0,2.0,7.0,4,14,5.0,0 - 0
Universidad Catolica,Deportivo Cuenca,2020-10-23,1,3,0.0,1.0,0.75,0.25,22.0,16.0,2.0,5.0,13,10,5.0,0 - 1
Deportivo Cuenca,LDU Portoviejo,2020-10-19,2,1,0.0,1.0,0.54,0.46,22.0,18.0,3.0,3.0,10,3,4.0,2 - 1
Guayaquil City,Emelec,2020-10-19,4,2,0.0,0.0,0.46,0.54,11.0,21.0,3.0,5.0,11,4,6.0,1 - 0
Orense SC,Universidad Catolica,2020-10-18,3,1,0.0,0.0,0.38,0.62,19.0,18.0,4.0,10.0,15,13,4.0,1 - 1
Independiente del Valle,LDU de Quito,2020-10-17,1,5,0.0,1.0,0.58,0.42,21.0,13.0,6.0,3.0,7,5,7.0,3 - 2
Aucas,CD Tecnico Universitario,2020-10-17,5,2,0.0,0.0,0.56,0.44,20.0,17.0,4.0,3.0,12,8,7.0,2 - 1
LDU Portoviejo,El Nacional,2020-10-15,2,2,0.0,0.0,0.52,0.48,12.0,14.0,3.0,8.0,3,2,4.0,3 - 0
CD Olmedo,Guayaquil City,2020-10-15,2,2,1.0,0.0,0.52,0.48,13.0,10.0,4.0,4.0,1,11,5.0,1 - 2
CD Tecnico Universitario,Barcelona SC,2020-10-14,2,3,0.0,0.0,0.54,0.46,22.0,12.0,4.0,4.0,8,0,5.0,0 - 2
Delfin,Aucas,2020-10-14,1,0,0.0,0.0,0.57,0.43,15.0,5.0,5.0,5.0,9,12,1.0,2 - 2
Mushuc Runa SC,Independiente del Valle,2020-10-14,2,3,0.0,0.0,0.51,0.49,9.0,16.0,10.0,7.0,6,7,5.0,3 - 2
CSD Macara,Delfin,2020-10-04,2,1,0.0,0.0,0.48,0.52,19.0,15.0,7.0,3.0,14,9,3.0,5 - 1
Orense SC,Independiente del Valle,2020-10-03,3,3,0.0,0.0,0.5,0.5,13.0,14.0,3.0,7.0,15,7,6.0,1 - 3
LDU de Quito,Mushuc Runa SC,2020-10-03,4,1,0.0,0.0,0.54,0.46,15.0,21.0,8.0,0.0,5,6,5.0,2 - 0
Aucas,LDU Portoviejo,2020-10-02,3,0,0.0,0.0,0.53,0.47,18.0,7.0,8.0,5.0,12,3,3.0,4 - 1
Guayaquil City,El Nacional,2020-09-30,5,5,0.0,0.0,0.48,0.52,17.0,24.0,2.0,3.0,11,2,10.0,2 - 1
LDU Portoviejo,CSD Macara,2020-09-28,4,6,0.0,0.0,0.47,0.53,24.0,24.0,6.0,5.0,3,14,10.0,2 - 2
CD Tecnico Universitario,LDU de Quito,2020-09-27,3,1,0.0,0.0,0.37,0.63,16.0,17.0,2.0,9.0,8,5,4.0,0 - 5
Independiente del Valle,Barcelona SC,2020-09-27,1,2,0.0,0.0,0.54,0.46,18.0,12.0,5.0,3.0,7,0,3.0,1 - 1
Mushuc Runa SC,Guayaquil City,2020-09-26,3,4,0.0,0.0,0.54,0.46,28.0,10.0,5.0,2.0,6,11,7.0,2 - 1
El Nacional,Orense SC,2020-09-25,5,4,0.0,0.0,0.6,0.4,13.0,13.0,4.0,4.0,2,15,9.0,2 - 2
Delfin,Mushuc Runa SC,2020-09-20,1,4,0.0,0.0,0.58,0.42,20.0,24.0,5.0,7.0,9,6,5.0,4 - 1
Universidad Catolica,CD Tecnico Universitario,2020-09-20,0,1,0.0,0.0,0.63,0.37,16.0,16.0,7.0,3.0,13,8,1.0,2 - 1
Orense SC,Aucas,2020-09-19,3,4,0.0,0.0,0.48,0.52,21.0,28.0,9.0,2.0,15,12,7.0,2 - 2
LDU Portoviejo,CD Olmedo,2020-09-18,1,6,0.0,0.0,0.51,0.49,16.0,19.0,4.0,6.0,3,1,7.0,2 - 1
Barcelona SC,Universidad Catolica,2020-09-13,5,6,0.0,0.0,0.47,0.53,27.0,25.0,3.0,0.0,0,13,11.0,1 - 0
Aucas,Deportivo Cuenca,2020-09-13,2,3,0.0,0.0,0.56,0.44,13.0,12.0,8.0,6.0,12,10,5.0,2 - 0
El Nacional,CD Tecnico Universitario,2020-09-12,4,4,0.0,0.0,0.5,0.5,17.0,16.0,5.0,7.0,2,8,8.0,0 - 1
LDU de Quito,Guayaquil City,2020-09-11,2,3,0.0,0.0,0.6,0.4,19.0,7.0,9.0,3.0,5,11,5.0,2 - 0
Mushuc Runa SC,LDU Portoviejo,2020-09-11,1,2,1.0,1.0,0.56,0.44,16.0,10.0,6.0,0.0,6,3,5.0,1 - 0
CSD Macara,Barcelona SC,2020-09-09,3,4,0.0,0.0,0.52,0.48,20.0,17.0,2.0,5.0,14,0,7.0,1 - 1
Deportivo Cuenca,Independiente del Valle,2020-09-09,2,3,0.0,0.0,0.42,0.58,16.0,2.0,1.0,5.0,10,7,5.0,1 - 3
Emelec,Independiente del Valle,2020-09-06,1,2,0.0,0.0,0.58,0.42,9.0,22.0,4.0,3.0,4,7,3.0,2 - 2
Aucas,Guayaquil City,2020-09-06,5,1,0.0,1.0,0.55,0.45,19.0,11.0,4.0,9.0,12,11,7.0,3 - 1
Delfin,Deportivo Cuenca,2020-09-06,2,2,0.0,0.0,0.59,0.41,20.0,12.0,9.0,2.0,9,10,4.0,2 - 1
CSD Macara,El Nacional,2020-09-05,5,4,0.0,0.0,0.54,0.46,13.0,20.0,4.0,4.0,14,2,9.0,1 - 0
LDU Portoviejo,LDU de Quito,2020-09-05,3,2,0.0,0.0,0.41,0.59,15.0,16.0,7.0,7.0,3,5,5.0,1 - 1
Mushuc Runa SC,Barcelona SC,2020-09-04,2,1,1.0,0.0,0.43,0.57,21.0,19.0,2.0,3.0,6,0,4.0,1 - 2
El Nacional,Emelec,2020-09-02,2,5,0.0,0.0,0.51,0.49,18.0,18.0,2.0,3.0,2,4,7.0,2 - 1
LDU Portoviejo,Independiente del Valle,2020-09-02,4,3,0.0,0.0,0.35,0.65,11.0,17.0,7.0,9.0,3,7,7.0,1 - 2
Guayaquil City,Universidad Catolica,2020-09-02,5,1,0.0,0.0,0.56,0.44,13.0,14.0,8.0,7.0,11,13,6.0,1 - 3
CD Olmedo,Delfin,2020-09-02,3,3,0.0,1.0,0.48,0.52,13.0,18.0,7.0,3.0,1,9,7.0,2 - 0
Barcelona SC,Aucas,2020-09-01,3,2,0.0,0.0,0.54,0.46,20.0,25.0,8.0,7.0,0,12,5.0,4 - 2
LDU de Quito,CSD Macara,2020-09-01,3,2,1.0,0.0,0.51,0.49,22.0,18.0,5.0,3.0,5,14,6.0,1 - 0
Orense SC,Mushuc Runa SC,2020-09-01,3,2,1.0,0.0,0.48,0.52,21.0,14.0,1.0,5.0,15,6,6.0,0 - 2
Independiente del Valle,Guayaquil City,2020-08-30,0,2,0.0,0.0,0.59,0.41,20.0,3.0,10.0,0.0,7,11,2.0,3 - 0
Delfin,El Nacional,2020-08-30,2,4,0.0,0.0,0.55,0.45,19.0,30.0,7.0,1.0,9,2,6.0,2 - 1
Barcelona SC,CD Olmedo,2020-08-29,2,4,0.0,0.0,0.57,0.43,21.0,28.0,6.0,4.0,0,1,6.0,3 - 1
Orense SC,LDU de Quito,2020-08-29,5,3,0.0,0.0,0.44,0.56,26.0,21.0,4.0,5.0,15,5,8.0,1 - 2
Mushuc Runa SC,Deportivo Cuenca,2020-08-29,2,4,0.0,0.0,0.48,0.52,24.0,21.0,4.0,3.0,6,10,6.0,1 - 1
Aucas,CSD Macara,2020-08-28,4,4,0.0,0.0,0.51,0.49,20.0,16.0,2.0,5.0,12,14,8.0,1 - 0
Emelec,LDU Portoviejo,2020-08-26,2,1,0.0,0.0,0.57,0.43,23.0,8.0,5.0,4.0,4,3,3.0,2 - 1
El Nacional,CD Olmedo,2020-08-26,2,3,0.0,0.0,0.52,0.48,23.0,13.0,7.0,7.0,2,1,5.0,3 - 2
Independiente del Valle,Aucas,2020-08-25,3,3,0.0,0.0,0.51,0.49,16.0,17.0,4.0,6.0,7,12,6.0,1 - 1
Universidad Catolica,El Nacional,2020-08-23,3,5,0.0,0.0,0.58,0.42,10.0,30.0,4.0,2.0,13,2,8.0,1 - 1
Emelec,Mushuc Runa SC,2020-08-20,2,3,0.0,0.0,0.55,0.45,14.0,3.0,5.0,2.0,4,6,5.0,2 - 0
CD Tecnico Universitario,CD Olmedo,2020-08-19,3,2,0.0,0.0,0.54,0.46,15.0,20.0,4.0,5.0,8,1,5.0,1 - 3
Deportivo Cuenca,Barcelona SC,2020-08-18,3,2,0.0,0.0,0.55,0.45,20.0,18.0,0.0,4.0,10,0,5.0,0 - 3
CD Olmedo,LDU de Quito,2020-08-16,3,0,0.0,0.0,0.5,0.5,13.0,14.0,3.0,4.0,1,5,3.0,2 - 3
Emelec,Independiente del Valle,2021-12-12,3,4,0.0,0.0,0.53,0.47,13.0,17.0,5.0,2.0,4,7,7.0,1 - 1
Universidad Catolica,9 De Octubre,2021-11-28,3,2,0.0,0.0,0.48,0.52,16.0,9.0,8.0,3.0,13,16,5.0,3 - 0
Guayaquil City,Aucas,2021-11-28,4,5,0.0,1.0,0.0,0.0,16.0,12.0,3.0,2.0,11,12,10.0,1 - 0
Emelec,Manta FC,2021-11-28,2,4,0.0,0.0,0.68,0.32,9.0,14.0,9.0,3.0,4,17,6.0,4 - 0
Delfin,Mushuc Runa SC,2021-11-28,1,2,0.0,0.0,0.0,0.0,8.0,7.0,6.0,1.0,9,6,3.0,3 - 0
Manta FC,9 De Octubre,2021-11-08,4,2,0.0,0.0,0.5,0.5,19.0,15.0,2.0,5.0,17,16,6.0,1 - 3
Guayaquil City,Independiente del Valle,2021-11-07,2,2,1.0,0.0,0.45,0.55,12.0,14.0,1.0,5.0,11,7,5.0,0 - 2
CD Olmedo,Barcelona SC,2021-11-07,1,2,1.0,0.0,0.34,0.66,15.0,23.0,3.0,6.0,1,0,4.0,0 - 2
Deportivo Cuenca,Aucas,2021-11-06,5,4,0.0,0.0,0.38,0.62,16.0,13.0,4.0,4.0,10,12,9.0,2 - 1
Aucas,Barcelona SC,2021-10-27,5,3,0.0,0.0,0.62,0.38,20.0,10.0,6.0,0.0,12,0,8.0,1 - 0
Deportivo Cuenca,CSD Macara,2021-10-25,5,2,0.0,1.0,0.58,0.42,14.0,20.0,6.0,2.0,10,14,8.0,1 - 1
Emelec,Barcelona SC,2021-10-24,1,2,0.0,0.0,0.6,0.4,13.0,10.0,3.0,3.0,4,0,3.0,2 - 1
CD Olmedo,Delfin,2021-10-24,2,0,0.0,0.0,0.54,0.46,12.0,14.0,2.0,5.0,1,9,2.0,1 - 3
LDU de Quito,Independiente del Valle,2021-10-24,2,0,0.0,0.0,0.49,0.51,17.0,10.0,1.0,6.0,5,7,2.0,0 - 2
9 De Octubre,Orense SC,2021-10-23,3,3,0.0,1.0,0.54,0.46,17.0,9.0,3.0,2.0,16,15,7.0,3 - 1
Universidad Catolica,Mushuc Runa SC,2021-10-23,2,2,0.0,0.0,0.67,0.33,10.0,16.0,4.0,4.0,13,6,4.0,0 - 1
CD Tecnico Universitario,Aucas,2021-10-22,3,2,0.0,0.0,0.4,0.6,14.0,20.0,1.0,2.0,8,12,5.0,1 - 1
Independiente del Valle,Manta FC,2021-10-18,2,6,0.0,0.0,0.75,0.25,20.0,15.0,7.0,2.0,7,17,8.0,1 - 1
Deportivo Cuenca,9 De Octubre,2021-10-17,2,4,0.0,0.0,0.4,0.6,19.0,19.0,5.0,3.0,10,16,6.0,3 - 1
Mushuc Runa SC,CD Tecnico Universitario,2021-10-17,1,1,0.0,0.0,0.48,0.52,8.0,10.0,4.0,3.0,6,8,2.0,0 - 1
