local,visitante,fecha,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,faltas_local,faltas_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,local_encoded,visitante_encoded,tarjetas_totales,score
CD Tecnico Universitario,Orense SC,2022-08-29,3,4,0.0,0.0,0.44,0.56,10.0,10.0,5.0,0.0,8,15,7.0,2 - 0
Barcelona SC,LDU de Quito,2022-08-29,3,2,0.0,1.0,0.37,0.63,15.0,6.0,3.0,5.0,0,5,6.0,1 - 1
Mushuc Runa SC,Gualaceo SC,2022-08-28,0,0,0.0,0.0,0.41,0.59,9.0,10.0,2.0,2.0,6,18,0.0,2 - 0
9 De Octubre,Emelec,2022-08-28,1,1,1.0,0.0,0.48,0.52,9.0,10.0,2.0,4.0,16,4,3.0,0 - 3
Aucas,Guayaquil City,2022-08-27,2,2,1.0,2.0,0.42,0.58,12.0,7.0,5.0,3.0,12,11,7.0,2 - 1
Guayaquil City,Independiente del Valle,2022-08-22,2,5,0.0,0.0,0.53,0.47,7.0,15.0,1.0,1.0,11,7,7.0,0 - 1
CSD Macara,Aucas,2022-08-21,1,4,1.0,1.0,0.44,0.56,6.0,12.0,5.0,4.0,14,12,7.0,1 - 1
LDU de Quito,Cumbayá,2022-08-20,1,3,0.0,0.0,0.61,0.39,16.0,21.0,4.0,1.0,5,19,4.0,1 - 0
Cumbayá,CSD Macara,2022-08-14,4,2,0.0,0.0,0.39,0.61,12.0,14.0,2.0,6.0,19,14,6.0,1 - 0
Barcelona SC,Universidad Catolica,2022-08-14,3,2,0.0,0.0,0.49,0.51,8.0,12.0,5.0,3.0,0,13,5.0,0 - 0
9 De Octubre,Aucas,2022-08-14,3,8,1.0,0.0,0.52,0.48,5.0,19.0,2.0,3.0,16,12,12.0,1 - 2
Mushuc Runa SC,Orense SC,2022-08-13,2,5,0.0,0.0,0.45,0.55,18.0,16.0,2.0,3.0,6,15,7.0,1 - 1
Gualaceo SC,9 De Octubre,2022-08-08,7,3,0.0,0.0,0.54,0.46,12.0,10.0,4.0,1.0,18,16,10.0,1 - 0
Barcelona SC,Mushuc Runa SC,2022-08-07,2,4,0.0,0.0,0.61,0.39,11.0,10.0,5.0,5.0,0,6,6.0,4 - 1
Guayaquil City,CSD Macara,2022-08-06,2,3,0.0,0.0,0.64,0.36,10.0,11.0,2.0,3.0,11,14,5.0,0 - 0
Orense SC,Independiente del Valle,2022-08-06,2,2,0.0,0.0,0.52,0.48,5.0,8.0,2.0,4.0,15,7,4.0,1 - 2
CD Tecnico Universitario,Cumbayá,2022-08-05,1,3,0.0,0.0,0.53,0.47,16.0,26.0,4.0,6.0,8,19,4.0,3 - 3
9 De Octubre,Orense SC,2022-08-01,3,2,0.0,0.0,0.56,0.44,15.0,13.0,0.0,1.0,16,15,5.0,0 - 0
CSD Macara,Universidad Catolica,2022-07-31,3,2,1.0,0.0,0.46,0.54,11.0,13.0,4.0,5.0,14,13,6.0,1 - 3
Independiente del Valle,Barcelona SC,2022-07-31,3,4,0.0,0.0,0.66,0.34,14.0,8.0,3.0,1.0,7,0,7.0,1 - 1
CSD Macara,Delfin,2022-07-25,4,5,0.0,0.0,0.56,0.44,10.0,12.0,3.0,3.0,14,9,9.0,1 - 2
Universidad Catolica,LDU de Quito,2022-07-24,2,3,0.0,0.0,0.55,0.45,11.0,12.0,4.0,0.0,13,5,5.0,4 - 0
Guayaquil City,Emelec,2022-07-24,1,2,0.0,0.0,0.47,0.53,7.0,10.0,0.0,8.0,11,4,3.0,0 - 0
Orense SC,Cumbayá,2022-07-23,0,3,0.0,0.0,0.65,0.35,9.0,9.0,7.0,3.0,15,19,3.0,3 - 1
Delfin,Aucas,2022-07-18,1,5,1.0,0.0,0.47,0.53,5.0,18.0,1.0,4.0,9,12,7.0,0 - 0
CD Tecnico Universitario,Barcelona SC,2022-07-17,4,3,0.0,1.0,0.6,0.4,13.0,7.0,3.0,4.0,8,0,8.0,0 - 2
Orense SC,CSD Macara,2022-07-16,5,5,0.0,1.0,0.65,0.35,13.0,7.0,1.0,2.0,15,14,11.0,1 - 1
Deportivo Cuenca,Guayaquil City,2022-07-11,3,2,0.0,0.0,0.51,0.49,14.0,8.0,2.0,1.0,10,11,5.0,1 - 0
Independiente del Valle,Cumbayá,2022-07-10,3,2,0.0,0.0,0.58,0.42,21.0,17.0,4.0,5.0,7,19,5.0,2 - 0
9 De Octubre,CD Tecnico Universitario,2022-07-09,2,1,0.0,0.0,0.48,0.52,5.0,7.0,3.0,1.0,16,8,3.0,2 - 0
Universidad Catolica,Mushuc Runa SC,2022-07-08,3,4,0.0,0.0,0.0,0.0,12.0,10.0,2.0,4.0,13,6,7.0,2 - 1
Universidad Catolica,Delfin,2022-05-30,3,1,0.0,0.0,0.55,0.45,9.0,6.0,6.0,5.0,13,9,4.0,4 - 2
LDU de Quito,CSD Macara,2022-05-30,1,3,0.0,0.0,0.53,0.47,16.0,14.0,3.0,6.0,5,14,4.0,3 - 2
Barcelona SC,Cumbayá,2022-05-30,2,6,0.0,0.0,0.66,0.34,15.0,13.0,8.0,1.0,0,19,8.0,4 - 0
9 De Octubre,Independiente del Valle,2022-05-30,1,1,0.0,0.0,0.0,0.0,6.0,7.0,2.0,1.0,16,7,2.0,1 - 1
CD Tecnico Universitario,Emelec,2022-05-29,3,2,0.0,0.0,0.0,0.0,10.0,13.0,3.0,3.0,8,4,5.0,1 - 1
Orense SC,Guayaquil City,2022-05-28,2,5,0.0,1.0,0.54,0.46,12.0,10.0,6.0,1.0,15,11,8.0,0 - 1
Mushuc Runa SC,Deportivo Cuenca,2022-05-28,4,2,0.0,0.0,0.53,0.47,14.0,17.0,2.0,0.0,6,10,6.0,1 - 0
Gualaceo SC,Aucas,2022-05-28,4,4,1.0,0.0,0.58,0.42,7.0,14.0,4.0,6.0,18,12,9.0,1 - 4
Deportivo Cuenca,Orense SC,2022-05-23,2,4,0.0,0.0,0.49,0.51,7.0,7.0,4.0,2.0,10,15,6.0,1 - 1
Aucas,Barcelona SC,2022-05-22,2,4,0.0,0.0,0.4,0.6,17.0,10.0,3.0,2.0,12,0,6.0,2 - 1
CSD Macara,CD Tecnico Universitario,2022-05-22,4,6,0.0,0.0,0.0,0.0,11.0,20.0,5.0,3.0,14,8,10.0,3 - 1
Guayaquil City,LDU de Quito,2022-05-22,1,2,0.0,1.0,0.0,0.0,6.0,16.0,4.0,5.0,11,5,4.0,2 - 2
Emelec,Universidad Catolica,2022-05-21,3,1,0.0,0.0,0.53,0.47,9.0,2.0,2.0,2.0,4,13,4.0,0 - 1
Delfin,Gualaceo SC,2022-05-21,1,3,0.0,0.0,0.0,0.0,12.0,8.0,7.0,0.0,9,18,4.0,1 - 0
Gualaceo SC,Guayaquil City,2022-05-16,3,3,0.0,0.0,0.48,0.52,18.0,9.0,4.0,1.0,18,11,6.0,2 - 1
Orense SC,Emelec,2022-05-15,3,2,0.0,0.0,0.44,0.56,9.0,9.0,5.0,1.0,15,4,5.0,2 - 0
CD Tecnico Universitario,Independiente del Valle,2022-05-15,5,4,1.0,1.0,0.5,0.5,14.0,15.0,4.0,3.0,8,7,11.0,2 - 3
LDU de Quito,Delfin,2022-05-14,2,0,0.0,1.0,0.0,0.0,7.0,9.0,4.0,2.0,5,9,3.0,3 - 2
Mushuc Runa SC,Aucas,2022-05-14,3,3,0.0,0.0,0.0,0.0,12.0,8.0,1.0,4.0,6,12,6.0,1 - 1
Barcelona SC,Emelec,2022-05-12,4,4,0.0,0.0,0.51,0.49,8.0,19.0,2.0,2.0,0,4,8.0,1 - 1
LDU de Quito,9 De Octubre,2022-05-08,3,1,0.0,1.0,0.0,0.0,14.0,8.0,4.0,1.0,5,16,5.0,2 - 0
Universidad Catolica,Gualaceo SC,2022-05-08,1,1,0.0,0.0,0.0,0.0,10.0,11.0,6.0,2.0,13,18,2.0,3 - 1
Aucas,Cumbayá,2022-05-07,2,2,0.0,0.0,0.0,0.0,11.0,12.0,4.0,3.0,12,19,4.0,1 - 0
Delfin,Orense SC,2022-05-07,2,3,0.0,0.0,0.0,0.0,9.0,7.0,5.0,1.0,9,15,5.0,2 - 1
Deportivo Cuenca,CD Tecnico Universitario,2022-05-06,2,5,0.0,1.0,0.55,0.45,4.0,5.0,3.0,1.0,10,8,8.0,1 - 0
Independiente del Valle,LDU de Quito,2022-05-01,4,3,0.0,0.0,0.0,0.0,16.0,9.0,1.0,2.0,7,5,7.0,1 - 0
Cumbayá,Deportivo Cuenca,2022-05-01,3,5,0.0,0.0,0.0,0.0,9.0,18.0,3.0,3.0,19,10,8.0,0 - 1
Orense SC,Universidad Catolica,2022-05-01,5,5,0.0,0.0,0.0,0.0,10.0,16.0,4.0,1.0,15,13,10.0,1 - 0
CD Tecnico Universitario,Aucas,2022-05-01,6,3,0.0,0.0,0.0,0.0,9.0,8.0,0.0,5.0,8,12,9.0,0 - 1
9 De Octubre,Delfin,2022-04-30,1,4,0.0,0.0,0.57,0.43,11.0,11.0,1.0,1.0,16,9,5.0,0 - 1
Mushuc Runa SC,Guayaquil City,2022-04-30,3,2,0.0,1.0,0.0,0.0,14.0,7.0,9.0,1.0,6,11,6.0,2 - 0
Gualaceo SC,CSD Macara,2022-04-29,2,4,0.0,0.0,0.0,0.0,8.0,17.0,2.0,3.0,18,14,6.0,2 - 1
Guayaquil City,Cumbayá,2022-04-25,3,4,0.0,0.0,0.6,0.4,13.0,16.0,5.0,3.0,11,19,7.0,4 - 1
LDU de Quito,Mushuc Runa SC,2022-04-24,0,0,0.0,0.0,0.53,0.47,6.0,8.0,4.0,5.0,5,6,0.0,3 - 2
LDU de Quito,Mushuc Runa SC,2022-04-24,0,0,0.0,0.0,0.53,0.47,6.0,8.0,4.0,5.0,5,6,0.0,3 - 2
Universidad Catolica,CD Tecnico Universitario,2022-04-24,2,1,0.0,1.0,0.0,0.0,19.0,5.0,5.0,2.0,13,8,4.0,4 - 1
Cumbayá,Emelec,2022-04-21,2,2,1.0,0.0,0.0,0.0,9.0,10.0,3.0,3.0,19,4,5.0,1 - 1
Aucas,Universidad Catolica,2022-04-21,2,1,0.0,0.0,0.53,0.47,11.0,6.0,5.0,6.0,12,13,3.0,3 - 2
Mushuc Runa SC,CSD Macara,2022-04-21,3,4,0.0,0.0,0.48,0.52,16.0,11.0,0.0,3.0,6,14,7.0,0 - 0
Orense SC,LDU de Quito,2022-04-20,2,2,0.0,0.0,0.0,0.0,8.0,15.0,7.0,0.0,15,5,4.0,3 - 0
Independiente del Valle,Deportivo Cuenca,2022-04-20,0,2,0.0,1.0,0.0,0.0,5.0,10.0,3.0,0.0,7,10,3.0,2 - 0
LDU de Quito,Barcelona SC,2022-04-17,5,4,0.0,0.0,0.0,0.0,15.0,6.0,3.0,0.0,5,0,9.0,2 - 0
Emelec,9 De Octubre,2022-04-17,4,3,0.0,0.0,0.6,0.4,10.0,8.0,6.0,1.0,4,16,7.0,2 - 1
Universidad Catolica,Independiente del Valle,2022-04-17,1,1,1.0,0.0,0.54,0.46,12.0,7.0,7.0,4.0,13,7,3.0,3 - 1
Delfin,Cumbayá,2022-04-16,2,3,0.0,0.0,0.58,0.42,16.0,10.0,1.0,2.0,9,19,5.0,1 - 1
Orense SC,CD Tecnico Universitario,2022-04-16,3,5,0.0,0.0,0.6,0.4,13.0,11.0,2.0,2.0,15,8,8.0,0 - 0
Gualaceo SC,Mushuc Runa SC,2022-04-15,3,3,0.0,0.0,0.0,0.0,19.0,15.0,4.0,1.0,18,6,6.0,3 - 2
Aucas,CSD Macara,2022-04-11,3,1,1.0,0.0,0.55,0.45,20.0,17.0,3.0,1.0,12,14,5.0,2 - 0
Deportivo Cuenca,Emelec,2022-04-10,1,1,0.0,0.0,0.0,0.0,9.0,5.0,3.0,2.0,10,4,2.0,2 - 2
Independiente del Valle,Guayaquil City,2022-04-10,2,3,0.0,0.0,0.0,0.0,13.0,4.0,5.0,0.0,7,11,5.0,0 - 0
Cumbayá,LDU de Quito,2022-04-10,5,2,0.0,0.0,0.0,0.0,10.0,14.0,2.0,3.0,19,5,7.0,0 - 2
9 De Octubre,Universidad Catolica,2022-04-09,2,2,1.0,0.0,0.4,0.6,8.0,15.0,1.0,4.0,16,13,5.0,0 - 4
CSD Macara,Cumbayá,2022-04-04,4,4,0.0,0.0,0.52,0.48,12.0,9.0,2.0,3.0,14,19,8.0,0 - 0
Delfin,Deportivo Cuenca,2022-04-04,1,5,0.0,0.0,0.64,0.36,11.0,17.0,3.0,2.0,9,10,6.0,0 - 0
Guayaquil City,CD Tecnico Universitario,2022-04-03,3,4,0.0,0.0,0.56,0.44,19.0,22.0,2.0,2.0,11,8,7.0,0 - 1
Orense SC,Mushuc Runa SC,2022-04-03,1,2,0.0,0.0,0.55,0.45,12.0,15.0,4.0,2.0,15,6,3.0,0 - 0
Aucas,9 De Octubre,2022-04-03,3,3,0.0,0.0,0.55,0.45,8.0,9.0,4.0,2.0,12,16,6.0,1 - 1
Gualaceo SC,Independiente del Valle,2022-04-02,2,5,0.0,0.0,0.54,0.46,11.0,10.0,3.0,6.0,18,7,7.0,1 - 3
Emelec,LDU de Quito,2022-04-02,3,1,0.0,0.0,0.0,0.0,15.0,12.0,3.0,3.0,4,5,4.0,2 - 0
Deportivo Cuenca,Universidad Catolica,2022-03-22,1,4,0.0,0.0,0.44,0.56,7.0,13.0,3.0,6.0,10,13,5.0,0 - 2
CSD Macara,Guayaquil City,2022-03-20,1,1,0.0,0.0,0.44,0.56,17.0,14.0,8.0,2.0,14,11,2.0,2 - 0
9 De Octubre,Gualaceo SC,2022-03-20,2,5,0.0,0.0,0.0,0.0,17.0,9.0,3.0,3.0,16,18,7.0,1 - 1
LDU de Quito,Aucas,2022-03-19,2,6,1.0,0.0,0.0,0.0,16.0,9.0,9.0,5.0,5,12,9.0,4 - 4
Cumbayá,CD Tecnico Universitario,2022-03-19,2,1,0.0,0.0,0.47,0.53,14.0,14.0,4.0,0.0,19,8,3.0,2 - 0
Independiente del Valle,Orense SC,2022-03-18,3,3,0.0,0.0,0.0,0.0,12.0,6.0,3.0,1.0,7,15,6.0,1 - 1
Guayaquil City,Delfin,2022-03-14,5,3,0.0,0.0,0.6,0.4,10.0,17.0,5.0,5.0,11,9,8.0,1 - 1
Gualaceo SC,Emelec,2022-03-13,2,2,0.0,0.0,0.49,0.51,7.0,15.0,4.0,3.0,18,4,4.0,2 - 1
Universidad Catolica,CSD Macara,2022-03-13,1,0,0.0,0.0,0.63,0.37,16.0,12.0,2.0,4.0,13,14,1.0,2 - 2
Orense SC,9 De Octubre,2022-03-13,3,2,1.0,0.0,0.6,0.4,16.0,12.0,1.0,2.0,15,16,6.0,2 - 1
CD Tecnico Universitario,LDU de Quito,2022-03-12,5,1,0.0,0.0,0.45,0.55,18.0,12.0,4.0,4.0,8,5,6.0,1 - 2
Aucas,Deportivo Cuenca,2022-03-11,5,5,0.0,0.0,0.55,0.45,8.0,18.0,4.0,4.0,12,10,10.0,0 - 0
CSD Macara,Orense SC,2022-02-28,2,3,0.0,0.0,0.54,0.46,15.0,10.0,6.0,1.0,14,15,5.0,1 - 0
Independiente del Valle,Emelec,2022-02-27,4,6,0.0,0.0,0.53,0.47,4.0,11.0,3.0,2.0,7,4,10.0,0 - 1
9 De Octubre,Mushuc Runa SC,2022-02-27,4,4,0.0,0.0,0.52,0.48,13.0,16.0,5.0,2.0,16,6,8.0,2 - 0
CD Tecnico Universitario,9 De Octubre,2022-02-21,4,4,0.0,0.0,0.45,0.55,23.0,14.0,6.0,3.0,8,16,8.0,2 - 1
LDU de Quito,Independiente del Valle,2023-12-17,2,2,0.0,0.0,0.44,0.56,12.0,11.0,4.0,7.0,5,7,4.0,1 - 1
Independiente del Valle,LDU de Quito,2023-12-10,3,4,0.0,0.0,0.6,0.4,12.0,10.0,8.0,2.0,7,5,7.0,0 - 0
Emelec,Deportivo Cuenca,2023-12-03,2,1,0.0,0.0,0.64,0.36,13.0,15.0,5.0,8.0,4,10,3.0,2 - 1
Delfin,CD Tecnico Universitario,2023-12-03,3,4,0.0,0.0,0.4,0.6,15.0,16.0,4.0,3.0,9,8,7.0,2 - 2
Universidad Catolica,Barcelona SC,2023-12-03,0,2,0.0,0.0,0.53,0.47,10.0,14.0,3.0,3.0,13,0,2.0,0 - 1
Orense SC,Aucas,2023-12-03,2,5,0.0,0.0,0.64,0.36,9.0,18.0,9.0,4.0,15,12,7.0,1 - 2
LDU de Quito,Mushuc Runa SC,2023-12-02,1,4,0.0,0.0,0.62,0.38,10.0,13.0,6.0,4.0,5,6,5.0,3 - 1
Libertad,Cumbayá,2023-12-02,2,2,0.0,0.0,0.43,0.57,14.0,9.0,7.0,4.0,20,19,4.0,3 - 1
Guayaquil City,Gualaceo SC,2023-12-02,3,4,0.0,0.0,0.68,0.32,11.0,19.0,3.0,5.0,11,18,7.0,0 - 2
El Nacional,Independiente del Valle,2023-12-02,1,0,0.0,0.0,0.43,0.57,14.0,16.0,6.0,4.0,2,7,1.0,2 - 1
Gualaceo SC,Emelec,2023-11-26,4,3,0.0,1.0,0.49,0.51,14.0,13.0,7.0,4.0,18,4,8.0,0 - 2
CD Tecnico Universitario,Libertad,2023-11-26,3,4,0.0,0.0,0.63,0.37,12.0,18.0,2.0,2.0,8,20,7.0,1 - 1
Cumbayá,LDU de Quito,2023-11-26,3,0,0.0,0.0,0.33,0.67,10.0,14.0,3.0,8.0,19,5,3.0,1 - 2
Barcelona SC,Guayaquil City,2023-11-26,1,1,0.0,0.0,0.49,0.51,14.0,16.0,4.0,4.0,0,11,2.0,2 - 1
Independiente del Valle,Orense SC,2023-11-25,4,7,0.0,1.0,0.63,0.37,11.0,5.0,6.0,4.0,7,15,12.0,2 - 2
Mushuc Runa SC,Universidad Catolica,2023-11-25,1,2,0.0,0.0,0.4,0.6,13.0,12.0,1.0,9.0,6,13,3.0,0 - 2
Deportivo Cuenca,El Nacional,2023-11-25,2,1,0.0,2.0,0.57,0.43,14.0,13.0,13.0,5.0,10,2,5.0,1 - 0
Aucas,Delfin,2023-11-25,2,2,0.0,0.0,0.52,0.48,10.0,4.0,7.0,2.0,12,9,4.0,0 - 0
Delfin,Deportivo Cuenca,2023-11-13,5,4,0.0,1.0,0.5,0.5,12.0,15.0,7.0,4.0,9,10,10.0,0 - 0
Emelec,Barcelona SC,2023-11-12,2,2,0.0,0.0,0.47,0.53,19.0,14.0,5.0,2.0,4,0,4.0,0 - 0
Libertad,LDU de Quito,2023-11-12,3,4,0.0,0.0,0.45,0.55,9.0,13.0,4.0,6.0,20,5,7.0,0 - 2
El Nacional,Gualaceo SC,2023-11-12,2,4,0.0,1.0,0.61,0.39,18.0,15.0,5.0,2.0,2,18,7.0,4 - 2
Aucas,Independiente del Valle,2023-11-11,1,2,0.0,0.0,0.29,0.71,8.0,6.0,5.0,9.0,12,7,3.0,2 - 0
Guayaquil City,CD Tecnico Universitario,2023-11-11,5,3,0.0,1.0,0.68,0.32,14.0,18.0,6.0,2.0,11,8,9.0,1 - 0
Universidad Catolica,Cumbayá,2023-11-11,3,2,0.0,0.0,0.72,0.28,10.0,8.0,2.0,3.0,13,19,5.0,1 - 0
Orense SC,Mushuc Runa SC,2023-11-10,1,4,0.0,1.0,0.61,0.39,9.0,15.0,1.0,3.0,15,6,6.0,1 - 0
CD Tecnico Universitario,LDU de Quito,2023-11-08,1,2,1.0,0.0,0.35,0.65,10.0,12.0,7.0,7.0,8,5,4.0,? - ?
Barcelona SC,El Nacional,2023-11-05,4,5,0.0,0.0,0.64,0.36,14.0,20.0,3.0,6.0,0,2,9.0,3 - 2
Cumbayá,Orense SC,2023-11-05,3,2,1.0,0.0,0.5,0.5,12.0,16.0,3.0,1.0,19,15,6.0,0 - 1
Mushuc Runa SC,CD Tecnico Universitario,2023-11-05,4,2,1.0,0.0,0.47,0.53,15.0,16.0,2.0,4.0,6,8,7.0,1 - 0
LDU de Quito,Independiente del Valle,2023-11-04,3,1,0.0,0.0,0.29,0.71,13.0,8.0,3.0,4.0,5,7,4.0,2 - 0
Guayaquil City,Emelec,2023-11-04,3,5,0.0,0.0,0.49,0.51,12.0,13.0,5.0,3.0,11,4,8.0,0 - 0
Gualaceo SC,Delfin,2023-11-04,3,1,0.0,0.0,0.54,0.46,12.0,13.0,9.0,5.0,18,9,4.0,2 - 2
LDU de Quito,Universidad Catolica,2023-11-01,2,4,0.0,0.0,0.55,0.45,9.0,9.0,7.0,7.0,5,13,6.0,? - ?
El Nacional,Guayaquil City,2023-10-30,2,1,0.0,0.0,0.45,0.55,14.0,8.0,9.0,0.0,2,11,3.0,2 - 0
Orense SC,Barcelona SC,2023-10-29,3,4,1.0,0.0,0.49,0.51,11.0,14.0,5.0,5.0,15,0,8.0,2 - 3
Aucas,Mushuc Runa SC,2023-10-29,2,1,0.0,0.0,0.51,0.49,10.0,8.0,7.0,6.0,12,6,3.0,4 - 0
Independiente del Valle,Deportivo Cuenca,2023-10-28,2,1,0.0,0.0,0.64,0.36,14.0,10.0,6.0,3.0,7,10,3.0,2 - 0
Libertad,Gualaceo SC,2023-10-27,5,1,0.0,0.0,0.48,0.52,13.0,5.0,3.0,4.0,20,18,6.0,3 - 0
Universidad Catolica,Delfin,2023-10-23,2,3,0.0,0.0,0.7,0.3,10.0,7.0,11.0,5.0,13,9,5.0,2 - 2
Guayaquil City,Independiente del Valle,2023-10-22,2,3,0.0,0.0,0.45,0.55,13.0,15.0,3.0,6.0,11,7,5.0,0 - 2
Gualaceo SC,Aucas,2023-10-22,1,4,0.0,0.0,0.42,0.58,10.0,17.0,4.0,4.0,18,12,5.0,1 - 2
Barcelona SC,Libertad,2023-10-21,3,2,1.0,0.0,0.58,0.42,15.0,11.0,4.0,1.0,0,20,6.0,1 - 0
Mushuc Runa SC,Deportivo Cuenca,2023-10-21,4,2,0.0,1.0,0.5,0.5,21.0,8.0,6.0,3.0,6,10,7.0,1 - 1
Cumbayá,CD Tecnico Universitario,2023-10-21,4,3,1.0,0.0,0.52,0.48,7.0,15.0,1.0,5.0,19,8,8.0,0 - 1
Orense SC,El Nacional,2023-10-20,5,4,0.0,0.0,0.71,0.29,12.0,22.0,8.0,3.0,15,2,9.0,1 - 1
Libertad,Guayaquil City,2023-10-09,3,4,0.0,1.0,0.72,0.28,12.0,6.0,3.0,0.0,20,11,8.0,1 - 0
Delfin,LDU de Quito,2023-10-08,1,3,0.0,0.0,0.35,0.65,8.0,15.0,4.0,1.0,9,5,4.0,0 - 0
Independiente del Valle,Gualaceo SC,2023-10-08,4,3,0.0,0.0,0.72,0.28,15.0,6.0,9.0,4.0,7,18,7.0,2 - 0
El Nacional,Mushuc Runa SC,2023-10-08,4,4,0.0,0.0,0.49,0.51,13.0,8.0,6.0,6.0,2,6,8.0,2 - 0
Aucas,Barcelona SC,2023-10-07,6,4,0.0,1.0,0.49,0.51,9.0,9.0,9.0,3.0,12,0,11.0,3 - 2
Emelec,Cumbayá,2023-10-07,1,3,0.0,1.0,0.62,0.38,12.0,8.0,9.0,4.0,4,19,5.0,3 - 0
CD Tecnico Universitario,Orense SC,2023-10-07,3,4,0.0,0.0,0.48,0.52,18.0,14.0,3.0,5.0,8,15,7.0,2 - 1
Deportivo Cuenca,Universidad Catolica,2023-10-06,3,2,0.0,0.0,0.44,0.56,18.0,7.0,12.0,6.0,10,13,5.0,2 - 3
