local,visitante,fecha,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,faltas_local,faltas_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,local_encoded,visitante_encoded,tarjetas_totales,score
Vinotinto,Orense SC,2025-07-26,2,1,0.0,0.0,0.67,0.33,9.0,11.0,8.0,1.0,22,15,3.0,0 - 1
Manta FC,Emelec,2025-07-26,5,2,0.0,0.0,0.65,0.35,11.0,21.0,6.0,6.0,17,4,7.0,2 - 4
Aucas,Delfin,2025-07-26,2,2,0.0,0.0,0.43,0.56,15.0,4.0,6.0,3.0,12,9,4.0,2 - 1
El Nacional,Libertad,2025-07-25,0,0,0.0,0.0,0.55,0.45,9.0,9.0,7.0,3.0,2,20,0.0,2 - 2
Barcelona SC,LDU de Quito,2025-07-24,1,4,0.0,0.0,0.52,0.48,11.0,24.0,5.0,5.0,0,5,5.0,0 - 1
Libertad,Manta FC,2025-07-21,3,1,0.0,0.0,0.54,0.46,12.0,7.0,3.0,1.0,20,17,4.0,1 - 0
LDU de Quito,Deportivo Cuenca,2025-07-20,2,1,1.0,0.0,0.37,0.63,16.0,10.0,2.0,3.0,5,10,4.0,2 - 2
Emelec,Mushuc Runa SC,2025-07-20,1,4,0.0,0.0,0.56,0.43,20.0,11.0,2.0,2.0,4,6,5.0,1 - 0
CD Tecnico Universitario,CSD Macara,2025-07-20,2,4,0.0,0.0,0.34,0.66,22.0,11.0,5.0,3.0,8,14,6.0,1 - 0
Delfin,Barcelona SC,2025-07-19,4,2,0.0,0.0,0.55,0.45,15.0,17.0,3.0,4.0,9,0,6.0,0 - 1
Orense SC,El Nacional,2025-07-19,3,1,0.0,0.0,0.61,0.39,17.0,19.0,3.0,3.0,15,2,4.0,1 - 1
Universidad Catolica,Vinotinto,2025-07-19,1,0,0.0,0.0,0.63,0.37,13.0,4.0,9.0,0.0,13,22,1.0,3 - 0
Independiente del Valle,Aucas,2025-07-18,2,2,1.0,0.0,0.49,0.51,15.0,9.0,5.0,4.0,7,12,5.0,2 - 1
Aucas,El Nacional,2025-07-14,4,3,1.0,0.0,0.57,0.42,13.0,9.0,7.0,4.0,12,2,8.0,1 - 0
Deportivo Cuenca,Delfin,2025-07-13,1,2,0.0,1.0,0.66,0.34,10.0,11.0,2.0,2.0,10,9,4.0,1 - 1
Orense SC,Libertad,2025-07-13,0,1,0.0,0.0,0.66,0.34,11.0,7.0,9.0,5.0,15,20,1.0,0 - 1
Vinotinto,Mushuc Runa SC,2025-07-13,1,1,0.0,0.0,0.65,0.35,12.0,10.0,5.0,3.0,22,6,2.0,1 - 1
Barcelona SC,CD Tecnico Universitario,2025-07-12,1,2,0.0,1.0,0.71,0.28,13.0,15.0,4.0,2.0,0,8,4.0,1 - 1
LDU de Quito,Emelec,2025-07-12,2,2,0.0,1.0,0.28,0.71,17.0,9.0,3.0,0.0,5,4,5.0,2 - 0
Manta FC,Universidad Catolica,2025-07-12,2,0,0.0,0.0,0.49,0.51,16.0,8.0,4.0,7.0,17,13,2.0,4 - 2
CSD Macara,Independiente del Valle,2025-07-11,5,2,0.0,0.0,0.33,0.67,20.0,9.0,1.0,4.0,14,7,7.0,1 - 2
CD Tecnico Universitario,Orense SC,2025-07-07,2,1,0.0,0.0,0.52,0.48,13.0,21.0,6.0,2.0,8,15,3.0,1 - 2
Delfin,LDU de Quito,2025-07-06,2,1,1.0,0.0,0.51,0.49,13.0,17.0,5.0,5.0,9,5,4.0,0 - 4
El Nacional,Manta FC,2025-07-06,1,3,0.0,1.0,0.54,0.46,6.0,10.0,4.0,0.0,2,17,5.0,1 - 0
Aucas,CSD Macara,2025-07-06,1,2,0.0,0.0,0.62,0.38,13.0,15.0,4.0,5.0,12,14,3.0,1 - 4
Independiente del Valle,Barcelona SC,2025-07-05,2,2,1.0,0.0,0.52,0.48,11.0,6.0,2.0,3.0,7,0,5.0,1 - 1
Emelec,Vinotinto,2025-07-05,2,0,0.0,0.0,0.57,0.42,17.0,7.0,7.0,0.0,4,22,2.0,2 - 0
Mushuc Runa SC,Universidad Catolica,2025-07-05,2,2,1.0,0.0,0.23,0.77,7.0,8.0,3.0,6.0,6,13,5.0,1 - 1
Libertad,Deportivo Cuenca,2025-07-04,4,2,0.0,0.0,0.55,0.45,15.0,8.0,7.0,4.0,20,10,6.0,2 - 1
Vinotinto,Aucas,2025-06-30,0,3,0.0,0.0,0.53,0.47,6.0,15.0,1.0,3.0,22,12,3.0,0 - 1
CSD Macara,Emelec,2025-06-29,0,3,0.0,0.0,0.56,0.44,13.0,10.0,9.0,6.0,14,4,3.0,1 - 1
Universidad Catolica,Independiente del Valle,2025-06-29,2,1,0.0,0.0,0.61,0.39,9.0,7.0,4.0,6.0,13,7,3.0,0 - 3
CD Tecnico Universitario,El Nacional,2025-06-29,2,4,0.0,1.0,0.54,0.46,12.0,16.0,3.0,4.0,8,2,7.0,0 - 0
Orense SC,LDU de Quito,2025-06-28,5,3,0.0,0.0,0.36,0.64,13.0,19.0,4.0,1.0,15,5,8.0,2 - 1
Barcelona SC,Libertad,2025-06-28,1,1,0.0,0.0,0.62,0.38,20.0,12.0,8.0,9.0,0,20,2.0,3 - 3
Delfin,Manta FC,2025-06-28,4,3,1.0,0.0,0.36,0.64,23.0,13.0,9.0,0.0,9,17,8.0,2 - 0
Deportivo Cuenca,Mushuc Runa SC,2025-06-27,2,3,0.0,0.0,0.61,0.39,13.0,12.0,3.0,0.0,10,6,5.0,1 - 0
Universidad Catolica,Emelec,2025-06-25,2,0,2.0,0.0,0.55,0.45,10.0,13.0,4.0,3.0,13,4,4.0,1 - 1
Manta FC,Orense SC,2025-06-23,1,2,0.0,0.0,0.44,0.56,16.0,15.0,3.0,3.0,17,15,3.0,0 - 0
Mushuc Runa SC,Barcelona SC,2025-06-22,4,1,1.0,0.0,0.42,0.57,12.0,14.0,6.0,7.0,6,0,6.0,0 - 5
Aucas,Deportivo Cuenca,2025-06-22,3,1,1.0,0.0,0.63,0.37,15.0,3.0,3.0,9.0,12,10,5.0,1 - 3
LDU de Quito,Independiente del Valle,2025-06-22,3,5,0.0,0.0,0.66,0.34,17.0,11.0,5.0,3.0,5,7,8.0,1 - 1
CSD Macara,Vinotinto,2025-06-21,2,2,0.0,0.0,0.38,0.62,10.0,7.0,4.0,4.0,14,22,4.0,1 - 0
Emelec,Delfin,2025-06-21,0,5,0.0,0.0,0.69,0.31,14.0,21.0,4.0,3.0,4,9,5.0,2 - 2
El Nacional,Universidad Catolica,2025-06-21,2,3,1.0,0.0,0.27,0.73,10.0,14.0,5.0,11.0,2,13,6.0,0 - 3
Libertad,CD Tecnico Universitario,2025-06-20,3,3,0.0,1.0,0.59,0.41,15.0,20.0,9.0,3.0,20,8,7.0,4 - 1
Orense SC,CSD Macara,2025-06-16,1,3,0.0,1.0,0.7,0.3,16.0,21.0,1.0,2.0,15,14,5.0,1 - 0
Delfin,Mushuc Runa SC,2025-06-15,3,3,0.0,1.0,0.56,0.43,18.0,12.0,6.0,1.0,9,6,7.0,3 - 1
Deportivo Cuenca,El Nacional,2025-06-15,2,2,0.0,0.0,0.45,0.55,9.0,13.0,8.0,4.0,10,2,4.0,4 - 1
CD Tecnico Universitario,Aucas,2025-06-15,1,2,0.0,0.0,0.41,0.59,13.0,20.0,6.0,5.0,8,12,3.0,1 - 1
Vinotinto,LDU de Quito,2025-06-14,1,1,0.0,0.0,0.5,0.5,8.0,6.0,1.0,2.0,22,5,2.0,1 - 2
Barcelona SC,Manta FC,2025-06-14,2,2,0.0,0.0,0.72,0.28,14.0,8.0,3.0,3.0,0,17,4.0,1 - 2
Independiente del Valle,Libertad,2025-06-14,2,5,0.0,0.0,0.59,0.41,5.0,14.0,6.0,1.0,7,20,7.0,1 - 1
Vinotinto,Libertad,2025-06-02,2,0,0.0,0.0,0.46,0.54,10.0,9.0,1.0,3.0,22,20,2.0,1 - 0
Aucas,Barcelona SC,2025-06-01,2,3,0.0,0.0,0.5,0.5,12.0,4.0,8.0,3.0,12,0,5.0,2 - 0
Deportivo Cuenca,Universidad Catolica,2025-06-01,2,3,0.0,0.0,0.4,0.6,12.0,11.0,6.0,2.0,10,13,5.0,3 - 1
Mushuc Runa SC,El Nacional,2025-06-01,3,5,1.0,0.0,0.48,0.52,15.0,7.0,6.0,6.0,6,2,9.0,2 - 3
Emelec,Orense SC,2025-05-31,2,3,0.0,0.0,0.48,0.52,13.0,18.0,6.0,2.0,4,15,5.0,1 - 0
Delfin,Independiente del Valle,2025-05-31,4,1,0.0,0.0,0.5,0.5,11.0,10.0,3.0,1.0,9,7,5.0,1 - 1
LDU de Quito,CD Tecnico Universitario,2025-05-31,3,4,0.0,1.0,0.77,0.23,11.0,11.0,7.0,4.0,5,8,8.0,3 - 2
CSD Macara,Manta FC,2025-05-30,3,4,0.0,0.0,0.48,0.52,15.0,14.0,3.0,5.0,14,17,7.0,2 - 2
El Nacional,Emelec,2025-05-25,2,3,0.0,2.0,0.68,0.32,15.0,7.0,5.0,1.0,2,4,7.0,2 - 0
CD Tecnico Universitario,Delfin,2025-05-25,2,1,1.0,0.0,0.43,0.56,12.0,14.0,2.0,4.0,8,9,4.0,1 - 2
Libertad,CSD Macara,2025-05-25,3,2,0.0,0.0,0.62,0.38,16.0,19.0,2.0,4.0,20,14,5.0,0 - 1
Orense SC,Aucas,2025-05-24,2,1,0.0,0.0,0.47,0.53,11.0,14.0,7.0,5.0,15,12,3.0,2 - 1
Universidad Catolica,LDU de Quito,2025-05-24,2,1,0.0,0.0,0.49,0.51,12.0,15.0,4.0,6.0,13,5,3.0,3 - 1
Manta FC,Vinotinto,2025-05-24,2,0,0.0,0.0,0.69,0.31,13.0,13.0,5.0,6.0,17,22,2.0,2 - 2
Barcelona SC,Deportivo Cuenca,2025-05-23,1,1,0.0,0.0,0.57,0.42,8.0,9.0,3.0,6.0,0,10,2.0,0 - 0
Independiente del Valle,Mushuc Runa SC,2025-05-23,1,3,0.0,1.0,0.67,0.33,10.0,12.0,6.0,3.0,7,6,5.0,2 - 1
LDU de Quito,Libertad,2025-05-19,1,3,0.0,0.0,0.57,0.42,10.0,10.0,5.0,1.0,5,20,4.0,1 - 1
Barcelona SC,Emelec,2025-05-18,3,3,0.0,1.0,0.53,0.47,20.0,12.0,3.0,3.0,0,4,7.0,2 - 0
Delfin,Universidad Catolica,2025-05-18,0,4,0.0,1.0,0.38,0.62,11.0,10.0,4.0,2.0,9,13,5.0,1 - 0
Vinotinto,Independiente del Valle,2025-05-18,1,2,0.0,0.0,0.36,0.64,7.0,8.0,7.0,4.0,22,7,3.0,1 - 3
CSD Macara,El Nacional,2025-05-17,1,4,0.0,0.0,0.52,0.48,12.0,13.0,2.0,2.0,14,2,5.0,1 - 1
Aucas,Manta FC,2025-05-17,2,4,0.0,0.0,0.7,0.3,9.0,10.0,9.0,3.0,12,17,6.0,1 - 1
Deportivo Cuenca,CD Tecnico Universitario,2025-05-16,0,3,0.0,1.0,0.53,0.47,19.0,13.0,5.0,0.0,10,8,4.0,2 - 0
El Nacional,Vinotinto,2025-05-12,1,1,1.0,0.0,0.48,0.52,15.0,9.0,3.0,5.0,2,22,3.0,2 - 1
Emelec,Aucas,2025-05-11,1,1,0.0,0.0,0.57,0.42,6.0,12.0,5.0,6.0,4,12,2.0,0 - 1
Universidad Catolica,Barcelona SC,2025-05-11,3,3,0.0,0.0,0.56,0.44,17.0,14.0,5.0,7.0,13,0,6.0,2 - 2
CD Tecnico Universitario,Independiente del Valle,2025-05-11,4,2,0.0,0.0,0.38,0.62,13.0,8.0,9.0,9.0,8,7,6.0,1 - 2
Libertad,Delfin,2025-05-10,0,3,1.0,1.0,0.62,0.38,15.0,14.0,2.0,1.0,20,9,5.0,0 - 1
CSD Macara,LDU de Quito,2025-05-10,2,2,0.0,0.0,0.49,0.51,7.0,18.0,3.0,2.0,14,5,4.0,0 - 1
Manta FC,Mushuc Runa SC,2025-05-10,3,0,0.0,0.0,0.55,0.45,18.0,11.0,5.0,6.0,17,6,3.0,2 - 1
Orense SC,Deportivo Cuenca,2025-05-09,2,2,0.0,0.0,0.57,0.42,12.0,8.0,5.0,0.0,15,10,4.0,1 - 0
Aucas,Libertad,2025-05-05,0,2,0.0,1.0,0.49,0.51,9.0,9.0,5.0,4.0,12,20,3.0,2 - 0
Barcelona SC,Vinotinto,2025-05-04,2,4,0.0,0.0,0.57,0.42,10.0,7.0,7.0,3.0,0,22,6.0,2 - 1
Mushuc Runa SC,CSD Macara,2025-05-03,0,2,0.0,0.0,0.54,0.46,5.0,14.0,12.0,7.0,6,14,2.0,4 - 3
CD Tecnico Universitario,Universidad Catolica,2025-05-03,4,0,0.0,0.0,0.32,0.68,10.0,13.0,4.0,1.0,8,13,4.0,1 - 1
LDU de Quito,El Nacional,2025-05-03,2,2,0.0,0.0,0.66,0.34,13.0,13.0,3.0,5.0,5,2,4.0,2 - 2
Deportivo Cuenca,Manta FC,2025-05-02,2,7,0.0,1.0,0.56,0.44,11.0,14.0,7.0,2.0,10,17,10.0,2 - 0
Libertad,Universidad Catolica,2025-04-28,1,1,0.0,0.0,0.49,0.51,6.0,6.0,5.0,7.0,20,13,2.0,3 - 1
Emelec,CD Tecnico Universitario,2025-04-27,1,6,0.0,0.0,0.65,0.35,14.0,20.0,2.0,2.0,4,8,7.0,0 - 1
Orense SC,Independiente del Valle,2025-04-27,2,1,0.0,0.0,0.48,0.52,11.0,10.0,4.0,3.0,15,7,3.0,1 - 2
Aucas,Mushuc Runa SC,2025-04-27,3,2,0.0,0.0,0.54,0.46,10.0,8.0,11.0,6.0,12,6,5.0,2 - 0
CSD Macara,Barcelona SC,2025-04-26,1,1,0.0,0.0,0.49,0.51,15.0,9.0,3.0,3.0,14,0,2.0,0 - 1
Manta FC,LDU de Quito,2025-04-26,1,3,0.0,1.0,0.5,0.5,14.0,12.0,2.0,1.0,17,5,5.0,1 - 1
Vinotinto,Deportivo Cuenca,2025-04-26,1,1,0.0,0.0,0.5,0.5,14.0,8.0,3.0,3.0,22,10,2.0,0 - 1
El Nacional,Delfin,2025-04-25,3,2,0.0,0.0,0.54,0.46,16.0,13.0,5.0,7.0,2,9,5.0,3 - 2
Delfin,CSD Macara,2025-04-20,1,2,0.0,0.0,0.46,0.54,16.0,15.0,5.0,4.0,9,14,3.0,0 - 0
Universidad Catolica,Orense SC,2025-04-20,2,0,0.0,0.0,0.57,0.42,12.0,7.0,5.0,2.0,13,15,2.0,2 - 0
CD Tecnico Universitario,Vinotinto,2025-04-20,1,1,0.0,0.0,0.62,0.38,7.0,3.0,7.0,5.0,8,22,2.0,1 - 3
Independiente del Valle,Manta FC,2025-04-19,1,1,0.0,0.0,0.6,0.4,9.0,5.0,7.0,0.0,7,17,2.0,2 - 0
Deportivo Cuenca,Emelec,2025-04-19,1,4,0.0,2.0,0.65,0.35,14.0,16.0,6.0,3.0,10,4,7.0,0 - 1
Libertad,Mushuc Runa SC,2025-04-19,3,2,1.0,0.0,0.47,0.53,15.0,10.0,5.0,6.0,20,6,6.0,2 - 1
Barcelona SC,El Nacional,2025-04-18,0,0,0.0,0.0,0.63,0.37,11.0,12.0,4.0,3.0,0,2,0.0,1 - 0
LDU de Quito,Aucas,2025-04-18,2,1,0.0,0.0,0.46,0.54,17.0,8.0,5.0,3.0,5,12,3.0,3 - 1
Orense SC,Barcelona SC,2025-04-14,4,3,1.0,0.0,0.56,0.43,15.0,13.0,8.0,2.0,15,0,8.0,3 - 1
El Nacional,Independiente del Valle,2025-04-14,2,1,0.0,0.0,0.45,0.55,10.0,15.0,4.0,4.0,2,7,3.0,1 - 3
Mushuc Runa SC,LDU de Quito,2025-04-14,2,2,0.0,0.0,0.34,0.66,11.0,9.0,4.0,1.0,6,5,4.0,1 - 0
Emelec,Libertad,2025-04-11,1,5,0.0,0.0,0.52,0.48,9.0,24.0,2.0,4.0,4,20,6.0,1 - 1
Manta FC,CD Tecnico Universitario,2025-04-10,2,0,0.0,0.0,0.54,0.46,14.0,15.0,4.0,3.0,17,8,2.0,2 - 1
CSD Macara,Deportivo Cuenca,2025-04-10,3,1,0.0,0.0,0.62,0.38,13.0,11.0,2.0,6.0,14,10,4.0,0 - 1
Vinotinto,Delfin,2025-04-09,0,2,0.0,1.0,0.5,0.5,9.0,10.0,11.0,4.0,22,9,3.0,5 - 0
Emelec,Manta FC,2025-04-06,2,3,0.0,0.0,0.61,0.39,14.0,19.0,3.0,1.0,4,17,5.0,1 - 1
Universidad Catolica,CSD Macara,2025-04-06,3,1,0.0,0.0,0.56,0.43,12.0,9.0,6.0,2.0,13,14,4.0,1 - 0
CD Tecnico Universitario,Mushuc Runa SC,2025-04-06,1,1,0.0,1.0,0.68,0.32,8.0,10.0,4.0,3.0,8,6,3.0,1 - 1
Independiente del Valle,Deportivo Cuenca,2025-04-05,2,3,0.0,1.0,0.54,0.46,9.0,17.0,7.0,2.0,7,10,6.0,4 - 0
Orense SC,Vinotinto,2025-04-05,2,4,0.0,0.0,0.68,0.32,12.0,14.0,1.0,1.0,15,22,6.0,0 - 0
Delfin,Aucas,2025-04-05,1,2,0.0,0.0,0.5,0.5,16.0,14.0,3.0,6.0,9,12,3.0,1 - 1
Libertad,El Nacional,2025-04-04,3,2,0.0,0.0,0.6,0.4,12.0,14.0,4.0,7.0,20,2,5.0,1 - 3
El Nacional,Orense SC,2025-03-30,4,1,1.0,1.0,0.62,0.38,12.0,10.0,3.0,2.0,2,15,7.0,0 - 1
Manta FC,Libertad,2025-03-30,0,2,0.0,1.0,0.63,0.37,11.0,15.0,4.0,1.0,17,20,3.0,1 - 1
CSD Macara,CD Tecnico Universitario,2025-03-30,4,5,0.0,0.0,0.52,0.48,12.0,21.0,2.0,2.0,14,8,9.0,0 - 1
Mushuc Runa SC,Emelec,2025-03-29,4,5,0.0,1.0,0.57,0.42,14.0,14.0,5.0,6.0,6,4,10.0,1 - 1
Deportivo Cuenca,LDU de Quito,2025-03-29,2,0,0.0,0.0,0.36,0.64,8.0,9.0,4.0,6.0,10,5,2.0,1 - 2
Vinotinto,Universidad Catolica,2025-03-29,2,2,0.0,0.0,0.34,0.66,6.0,9.0,6.0,4.0,22,13,4.0,3 - 2
Barcelona SC,Delfin,2025-03-28,3,2,0.0,0.0,0.62,0.38,14.0,4.0,5.0,4.0,0,9,5.0,2 - 0
Aucas,Independiente del Valle,2025-03-28,3,6,0.0,0.0,0.5,0.5,15.0,7.0,1.0,2.0,12,7,9.0,1 - 2
CD Tecnico Universitario,Barcelona SC,2025-03-17,5,1,0.0,0.0,0.57,0.42,20.0,11.0,5.0,3.0,8,0,6.0,0 - 1
Emelec,LDU de Quito,2025-03-16,3,0,0.0,0.0,0.36,0.64,10.0,11.0,4.0,1.0,4,5,3.0,1 - 0
El Nacional,Aucas,2025-03-16,2,2,0.0,0.0,0.52,0.48,11.0,21.0,3.0,1.0,2,12,4.0,0 - 1
Independiente del Valle,CSD Macara,2025-03-16,4,3,0.0,0.0,0.77,0.23,11.0,14.0,3.0,3.0,7,14,7.0,1 - 1
Delfin,Deportivo Cuenca,2025-03-15,2,2,1.0,0.0,0.0,0.0,14.0,17.0,2.0,2.0,9,10,5.0,0 - 0
Universidad Catolica,Manta FC,2025-03-15,2,2,0.0,0.0,0.61,0.39,17.0,33.0,7.0,2.0,13,17,4.0,3 - 0
Libertad,Orense SC,2025-03-15,1,0,0.0,0.0,0.5,0.5,12.0,44.0,7.0,3.0,20,15,1.0,4 - 1
Mushuc Runa SC,Vinotinto,2025-03-14,2,4,0.0,0.0,0.56,0.44,22.0,11.0,9.0,7.0,6,22,6.0,1 - 2
Orense SC,CD Tecnico Universitario,2025-03-10,2,0,0.0,0.0,0.68,0.32,14.0,22.0,4.0,3.0,15,8,2.0,2 - 1
Vinotinto,Emelec,2025-03-09,1,1,0.0,0.0,0.42,0.57,11.0,11.0,7.0,1.0,22,4,2.0,2 - 1
Universidad Catolica,Mushuc Runa SC,2025-03-09,0,1,0.0,0.0,0.64,0.36,11.0,11.0,4.0,8.0,13,6,1.0,1 - 1
Barcelona SC,Independiente del Valle,2025-03-08,3,0,1.0,0.0,0.35,0.65,41.0,8.0,1.0,6.0,0,7,4.0,0 - 4
Manta FC,El Nacional,2025-03-08,6,3,0.0,0.0,0.45,0.55,33.0,44.0,4.0,6.0,17,2,9.0,4 - 3
LDU de Quito,Delfin,2025-03-08,2,3,0.0,0.0,0.57,0.42,22.0,33.0,6.0,4.0,5,9,5.0,3 - 0
Deportivo Cuenca,Libertad,2025-03-07,2,2,0.0,0.0,0.56,0.43,13.0,18.0,6.0,1.0,10,20,4.0,0 - 1
El Nacional,CD Tecnico Universitario,2025-03-02,2,3,0.0,0.0,0.6,0.4,19.0,16.0,3.0,3.0,2,8,5.0,0 - 0
Aucas,Vinotinto,2025-03-02,1,5,0.0,0.0,0.53,0.47,22.0,11.0,6.0,4.0,12,22,6.0,2 - 2
Independiente del Valle,Universidad Catolica,2025-03-02,1,3,0.0,0.0,0.5,0.5,12.0,14.0,7.0,3.0,7,13,4.0,1 - 1
Libertad,Barcelona SC,2025-03-01,3,2,1.0,0.0,0.62,0.38,16.0,16.0,5.0,4.0,20,0,6.0,1 - 4
LDU de Quito,Orense SC,2025-03-01,2,3,0.0,1.0,0.61,0.39,14.0,40.0,6.0,0.0,5,15,6.0,4 - 0
Mushuc Runa SC,Deportivo Cuenca,2025-03-01,3,2,0.0,1.0,0.55,0.45,10.0,6.0,10.0,1.0,6,10,6.0,3 - 1
CD Tecnico Universitario,Libertad,2025-02-24,2,3,0.0,0.0,0.52,0.48,15.0,11.0,7.0,5.0,8,20,5.0,2 - 2
Barcelona SC,Mushuc Runa SC,2025-02-23,2,4,0.0,0.0,0.7,0.3,11.0,15.0,4.0,1.0,0,6,6.0,1 - 0
Orense SC,Manta FC,2025-02-23,4,3,0.0,0.0,0.46,0.54,19.0,14.0,6.0,7.0,15,17,7.0,2 - 1
Universidad Catolica,El Nacional,2025-02-23,2,2,0.0,0.0,0.62,0.38,13.0,10.0,7.0,8.0,13,2,4.0,1 - 1
Independiente del Valle,LDU de Quito,2025-02-22,4,2,0.0,0.0,0.55,0.45,13.0,12.0,3.0,4.0,7,5,6.0,1 - 1
Delfin,Emelec,2025-02-22,2,4,0.0,0.0,0.47,0.53,16.0,12.0,3.0,2.0,9,4,6.0,2 - 0
Vinotinto,CSD Macara,2025-02-22,4,3,0.0,0.0,0.58,0.42,14.0,7.0,3.0,4.0,22,14,7.0,1 - 2
Deportivo Cuenca,Aucas,2025-02-21,3,3,0.0,0.0,0.37,0.63,18.0,6.0,6.0,3.0,10,12,6.0,2 - 0
Mushuc Runa SC,Delfin,2025-02-17,2,2,0.0,0.0,0.39,0.61,27.0,11.0,8.0,2.0,6,9,4.0,2 - 0
Emelec,Universidad Catolica,2025-02-16,3,1,0.0,0.0,0.61,0.39,8.0,9.0,2.0,10.0,4,13,4.0,0 - 4
El Nacional,Deportivo Cuenca,2025-02-16,2,1,0.0,1.0,0.66,0.34,9.0,7.0,4.0,3.0,2,10,4.0,0 - 1
LDU de Quito,Vinotinto,2025-02-16,2,5,1.0,1.0,0.69,0.31,14.0,12.0,1.0,3.0,5,22,9.0,0 - 0
CSD Macara,Orense SC,2025-02-15,3,3,1.0,0.0,0.26,0.74,11.0,10.0,4.0,0.0,14,15,7.0,1 - 0
Libertad,Independiente del Valle,2025-02-15,3,0,0.0,0.0,0.44,0.56,14.0,5.0,2.0,3.0,20,7,3.0,2 - 0
